provider,amount,approval_date,milestone_count,contact
Northgate Community Trust,61400,2026-08-02,3,a.mercer@northgatetrust.org
Riverbend Housing Collective,148000,2026-07-24,4,ops@riverbendhousing.org
Cedar Hollow Youth Services,24750,2026-07-30,2,finance@cedarhollow.org
Ashfield Works,92000,2026-07-28,3,grants@ashfieldworks.co
Portside Learning Alliance,18200,2026-07-21,1,hello@portsidelearning.org
Halloway Neighbourhood Centre,305000,2026-07-26,6,admin@hallowaycentre.org
Kestrel Vocational Institute,47500,2026-07-31,2,bursar@kestrelvi.edu
Marlowe Street Clinic,12900,2026-07-15,1,office@marlowestreet.health
Tanner Ridge Cooperative,76300,2026-08-04,3,coop@tannerridge.org
Brightwater Arts Foundation,33000,2026-08-01,2,grants@brightwaterarts.org
Ferndale Mutual Aid,58900,2026-08-14,3,mutualaid@ferndale.org
Oakmoor Technical College,210000,2026-08-06,5,finance@oakmoortech.edu
